"Estimated Resident Population by Age and Sex (1991+) (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","As at","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","0 Years","1 Years","2 Years","3 Years","4 Years","5 Years","6 Years","7 Years","8 Years","9 Years","10 Years","11 Years","12 Years","13 Years","14 Years","15 Years","16 Years","17 Years","18 Years","19 Years","20 Years","21 Years","22 Years","23 Years","24 Years","25 Years","26 Years","27 Years","28 Years","29 Years","30 Years","31 Years","32 Years","33 Years","34 Years","35 Years","36 Years","37 Years","38 Years","39 Years","40 Years","41 Years","42 Years","43 Years","44 Years","45 Years","46 Years","47 Years","48 Years","49 Years","50 Years","51 Years","52 Years","53 Years","54 Years","55 Years","56 Years","57 Years","58 Years","59 Years","60 Years","61 Years","62 Years","63 Years","64 Years","65 Years","66 Years","67 Years","68 Years","69 Years","70 Years","71 Years","72 Years","73 Years","74 Years","75 Years","76 Years","77 Years","78 Years","79 Years","80 Years","81 Years","82 Years","83 Years","84 Years","85 Years","86 Years","87 Years","88 Years","89 Years","90 Years","91 Years","92 Years","93 Years","94 Years","95 Years and Over","Total All Ages"
"2001Q4",55520,56820,55820,56040,56870,57240,58200,58590,60160,60530,62450,63230,61120,59680,58320,56840,56250,55940,56100,56460,55370,54160,52360,49750,48440,48450,48550,50820,52710,55950,58500,58440,59010,58870,58460,59140,59230,61310,63180,64100,63390,62320,60040,58750,57000,56560,54450,53170,50750,50840,49450,49690,48600,49020,48930,45550,40820,38000,35030,35890,36810,35840,32630,30540,29330,28300,26460,26520,25220,25320,25410,25460,24050,23600,22310,21760,20650,19780,18020,17000,15940,15480,11750,10750,9700,9160,7870,7200,5730,4980,3740,3190,2260,1800,1260,3130,3916200
"2002Q1",54990,56620,56800,55580,57530,56540,58280,59020,59770,60170,62470,63710,61770,60020,59340,57180,56900,56760,56650,57550,56070,55030,52940,50460,48540,48710,48070,50480,52480,55300,58510,58940,59160,59300,58560,59350,59520,60650,62750,64460,63850,62820,60740,59250,57530,56580,55310,53340,51550,50790,49880,49470,48920,48710,48730,47810,41240,38320,36380,34570,37100,36560,32910,30880,29570,28390,26920,26370,25280,25390,25030,25510,24290,23310,22490,21800,20810,19940,18170,16910,16230,15200,12660,10760,9570,9330,7850,7200,5810,5020,3920,3100,2400,1820,1290,3210,3935700
"2002Q2",54850,56170,57060,55580,57480,57070,57930,59170,59380,60840,61770,63690,62680,60390,59500,57640,57220,56970,57320,57600,56690,55440,53090,51240,48590,48540,47940,49870,52180,54580,58160,59670,58780,59290,59170,59460,59240,60300,62690,63990,64430,63320,61260,60380,57570,56830,55710,53740,52440,50610,50180,49290,49410,48440,48760,49020,41300,39230,37560,33590,37220,36740,34010,30970,29760,28620,27230,26200,25460,25280,24900,25390,24390,23250,22890,21600,20690,20140,18240,16980,16330,14900,13570,10650,9590,9180,7980,7100,6020,4930,4090,3040,2480,1840,1320,3240,3948500
"2002Q3",54820,55810,57300,55780,57330,57240,57800,59210,59280,60850,61660,63440,63410,60910,60140,58410,57740,57590,57670,58210,57380,56170,53590,51970,49290,48540,48180,49710,51760,54090,57760,60030,58980,59820,59310,59540,59520,60300,62150,64300,64600,63910,61950,60560,58270,57300,56300,54390,52970,50750,50470,49570,49450,48540,48670,49320,42850,40090,37570,34120,36700,36750,34920,31700,30120,28750,27730,26040,25740,25050,24820,25260,24630,23370,22790,21720,20880,19800,18630,16900,16240,14970,14400,10340,9660,8950,8110,7000,6110,4890,4160,3000,2510,1830,1340,3160,3967600
"2002Q4",54960,55790,57390,56510,56620,57450,57980,59090,59350,60940,61450,63160,63890,61730,60340,59020,57840,57650,57800,58200,58260,56190,54460,52620,50160,48820,49010,49410,51960,54190,57700,60150,59610,60040,59980,59500,59990,60260,62190,64190,64950,64140,63030,60590,59250,57490,57100,54800,53360,50980,50960,49540,49710,48590,48950,48900,45490,40780,37880,34960,35790,36690,35670,32440,30390,29120,28010,26140,26130,24830,24870,24860,24870,23450,22940,21630,20990,19800,18900,17160,16070,14980,14490,10890,9840,8770,8250,6960,6200,4910,4240,3050,2580,1800,1380,3170,3989500
"2003Q1",55540,55170,57250,57520,56200,58090,57260,59150,59850,60590,61160,63260,64420,62440,60770,60100,58250,58340,58480,58980,59530,57210,55540,53440,50980,49050,49410,49040,51790,54130,57110,60290,60240,60310,60540,59700,60210,60500,61590,63730,65450,64630,63520,61320,59800,58050,57100,55600,53610,51760,50940,49940,49480,48910,48640,48680,47760,41210,38230,36300,34460,37040,36420,32680,30760,29360,28130,26580,25990,24910,24940,24500,24970,23690,22680,21790,21020,20030,19050,17330,16020,15260,14230,11770,9900,8650,8350,6990,6240,4970,4290,3230,2510,1900,1390,3250,4013300
"2003Q2",55920,55020,56820,57840,56240,58040,57760,58800,60020,60250,61740,62680,64440,63320,61110,60310,58570,58520,58630,59250,59460,57780,55850,53550,51720,49140,49370,49000,51280,53960,56560,60000,61050,59990,60610,60360,60410,60250,61340,63670,64960,65210,64070,61880,60920,58120,57320,56060,54030,52630,50770,50260,49330,49400,48400,48700,48980,41280,39190,37480,33500,37150,36630,33820,30810,29530,28390,26930,25830,25040,24820,24370,24840,23810,22600,22220,20850,19950,19260,17390,16100,15320,13920,12600,9810,8670,8240,7090,6230,5150,4240,3390,2480,1930,1400,3290,4027200
"2003Q3",56270,54920,56480,58060,56510,57880,57870,58560,60100,60090,61680,62530,64130,64040,61570,60890,59360,58800,59040,59210,59760,58350,56460,53960,52380,49850,49320,49280,51200,53510,56170,59610,61470,60210,61110,60520,60590,60430,61340,63130,65220,65370,64610,62590,61110,58800,57780,56650,54690,53130,50910,50560,49620,49430,48530,48600,49270,42860,40080,37490,34010,36620,36620,34770,31490,29870,28490,27430,25640,25340,24540,24290,24700,24040,22700,22080,21010,20080,18960,17820,15980,15300,13960,13400,9490,8760,8040,7200,6100,5240,4140,3450,2440,1980,1410,3260,4044600
"2003Q4",56790,54950,56330,58010,57230,57160,57950,58600,59950,60070,61660,62170,63690,64430,62250,60980,59840,58770,58830,59050,59470,59210,56450,54640,52920,50680,49510,50050,50740,53550,56070,59330,61480,60780,61220,61170,60460,60810,61210,63030,65030,65670,64770,63610,61030,59660,57910,57480,55040,53480,51120,51020,49530,49700,48500,48870,48860,45440,40790,37760,34860,35680,36550,35510,32210,30170,28870,27710,25730,25750,24330,24370,24280,24280,22820,22240,20910,20200,18990,18040,16260,15140,13950,13460,9980,8960,7890,7330,6110,5310,4140,3550,2490,2020,1380,3330,4061600
"2004Q1",57460,55400,55620,57830,58160,56780,58460,57830,59910,60550,61270,61860,63780,64910,62950,61370,60900,59060,59150,59380,59700,59840,57000,55250,53260,51200,49530,50220,50340,53280,55750,58710,61440,61240,61440,61560,60610,60960,61350,62300,64530,66150,65230,64060,61710,60140,58360,57500,55770,53740,51830,51030,49900,49440,48830,48500,48610,47720,41200,38110,36230,34300,36910,36220,32450,30560,29070,27800,26180,25580,24430,24400,23900,24390,23010,21990,21060,20230,19190,18180,16440,15100,14190,13190,10760,8980,7770,7420,6170,5340,4190,3600,2640,1980,1460,3400,4078700
"2004Q2",57930,55660,55370,57300,58390,56790,58350,58150,59400,60690,60850,62370,63140,64910,63780,61700,60990,59280,59200,59280,59740,59520,57400,55270,53190,51630,49410,50060,50090,52630,55410,58010,61060,62000,60890,61550,61150,61030,60960,61970,64390,65620,65770,64560,62180,61230,58390,57600,56300,54190,52710,50810,50210,49220,49320,48250,48610,48920,41230,39060,37390,33390,36990,36450,33630,30590,29270,28050,26550,25390,24650,24270,23840,24220,23230,21950,21450,20070,19120,18400,16520,15190,14330,12860,11570,8870,7810,7300,6250,5360,4320,3530,2760,1950,1480,3470,4087500
"2004Q3",58120,55980,55250,56910,58500,57030,58170,58110,59110,60700,60620,62240,63020,64560,64450,62130,61700,59890,59270,59430,59530,59610,57940,55770,53410,52030,49990,49860,50180,52440,54830,57450,60620,62320,60980,61930,61260,61230,61000,61980,63720,65830,65830,65020,62890,61390,59030,57920,56900,54840,53160,50970,50490,49500,49320,48400,48470,49200,42750,39990,37370,33900,36460,36410,34610,31280,29660,28170,27050,25230,24970,24030,23770,24070,23400,22060,21320,20240,19210,18100,16950,15070,14310,12920,12260,8580,7840,7130,6290,5250,4380,3400,2820,1930,1480,3460,4100600
"2004Q4",57810,56470,55190,56740,58420,57730,57470,58110,59010,60540,60440,62090,62640,64020,64790,62650,61580,60380,59050,59270,59310,59390,58770,55980,54090,52530,50750,49940,50890,51930,54760,57190,60280,62280,61570,61970,61870,61000,61250,61780,63470,65570,66110,65130,63880,61230,59850,58000,57670,55190,53520,51210,50930,49420,49600,48390,48740,48750,45350,40710,37640,34780,35510,36350,35320,32000,29970,28590,27350,25350,25340,23830,23850,23670,23600,22170,21490,20150,19330,18170,17110,15350,14160,12910,12380,8980,8010,7000,6380,5270,4430,3420,2890,1960,1520,3460,4114300
"2005Q1",57880,57080,55590,55890,58230,58570,57050,58530,58070,60360,60880,61600,62250,64020,65160,63300,61890,61300,58980,59460,59400,59310,59050,56330,54530,52780,51140,49890,51030,51360,54480,56790,59580,62140,62000,62120,62170,61130,61320,61820,62680,64880,66520,65520,64290,61840,60320,58420,57620,55800,53780,51880,51000,49740,49300,48730,48420,48520,47620,41130,37990,36120,34130,36730,36040,32240,30330,28800,27470,25830,25160,24030,23870,23310,23710,22360,21300,20330,19440,18300,17260,15510,14140,13200,12130,9790,8000,6910,6440,5300,4480,3430,2900,2110,1480,3570,4126600
"2005Q2",57760,57440,55870,55580,57670,58750,57060,58470,58300,59810,61070,61180,62720,63370,65180,64090,62180,61330,59220,59270,59380,59300,58700,56510,54490,52650,51450,49750,50840,51180,53800,56430,58820,61740,62710,61550,62230,61670,61380,61410,62350,64730,65950,66030,64790,62340,61390,58500,57630,56330,54200,52700,50760,50100,49090,49230,48100,48540,48820,41100,38960,37230,33230,36810,36250,33410,30350,29030,27750,26200,24990,24230,23760,23290,23560,22500,21260,20650,19290,18240,17470,15590,14220,13310,11830,10550,7940,6970,6340,5400,4520,3520,2890,2200,1490,3650,4133900
