"date","age_group","population","population_vaccinated","population_unvaccinated"
2022 Jul,"39",67273,60816,6457
2022 May,"40",65840,59612,6228
2022 Jun,"40",66073,59664,6409
2022 Jul,"40",66307,59723,6584
2022 May,"41",64310,58796,5514
2022 Jun,"41",64533,58843,5690
2022 Jul,"41",64757,58891,5866
2022 May,"42",63370,58222,5148
2022 Jun,"42",63583,58265,5318
2022 Jul,"42",63797,58297,5500
2022 May,"43",62410,57873,4537
2022 Jun,"43",62483,57907,4576
2022 Jul,"43",62557,57914,4643
2022 May,"44",60420,57859,2561
2022 Jun,"44",60570,57862,2708
2022 Jul,"44",60720,57862,2858
2022 May,"45",60940,57204,3736
2022 Jun,"45",60923,57204,3719
2022 Jul,"45",60907,57204,3703
2022 May,"46",60450,57035,3415
2022 Jun,"46",60507,57035,3472
2022 Jul,"46",60563,57035,3528
2022 May,"47",62340,57485,4855
2022 Jun,"47",62210,57485,4725
2022 Jul,"47",62080,57485,4595
2022 May,"48",64410,58359,6051
2022 Jun,"48",64180,58359,5821
2022 Jul,"48",63950,58359,5591
2022 May,"49",66350,59082,7268
2022 Jun,"49",66070,59082,6988
2022 Jul,"49",65790,59082,6708
2022 May,"50",68380,61059,7321
2022 Jun,"50",68303,61059,7244
2022 Jul,"50",68227,61059,7168
2022 May,"51",68590,61491,7099
2022 Jun,"51",68653,61491,7162
2022 Jul,"51",68717,61491,7226
2022 May,"52",66210,61703,4507
2022 Jun,"52",66343,61703,4640
2022 Jul,"52",66477,61703,4774
2022 May,"53",66270,61598,4672
2022 Jun,"53",66333,61598,4735
2022 Jul,"53",66397,61598,4799
2022 May,"54",64630,61305,3325
2022 Jun,"54",64717,61305,3412
2022 Jul,"54",64803,61305,3498
2022 May,"55",63260,60013,3247
2022 Jun,"55",63310,60013,3297
2022 Jul,"55",63360,60013,3347
2022 May,"56",62430,59534,2896
2022 Jun,"56",62437,59534,2903
2022 Jul,"56",62443,59534,2909
2022 May,"57",63340,58912,4428
2022 Jun,"57",63190,58912,4278
2022 Jul,"57",63040,58912,4128
2022 May,"58",64700,58345,6355
2022 Jun,"58",64527,58345,6182
2022 Jul,"58",64353,58345,6008
2022 May,"59",65730,58041,7689
2022 Jun,"59",65700,58041,7659
2022 Jul,"59",65670,58041,7629
2022 May,"60",64820,58106,6714
2022 Jun,"60",64840,58106,6734
2022 Jul,"60",64860,58106,6754
2022 May,"61",62920,57179,5741
2022 Jun,"61",63093,57179,5914
2022 Jul,"61",63267,57179,6088
2022 May,"62",60390,55922,4468
2022 Jun,"62",60530,55922,4608
2022 Jul,"62",60670,55922,4748
2022 May,"63",59270,54445,4825
2022 Jun,"63",59267,54445,4822
2022 Jul,"63",59263,54445,4818
2022 May,"64",56780,52962,3818
2022 Jun,"64",56893,52962,3931
2022 Jul,"64",57007,52962,4045
2022 May,"65",55010,50446,4564
2022 Jun,"65",55203,50446,4757
2022 Jul,"65",55397,50446,4951
2022 May,"66",53380,48794,4586
2022 Jun,"66",53463,48794,4669
2022 Jul,"66",53547,48794,4753
2022 May,"67",51470,47225,4245
2022 Jun,"67",51623,47225,4398
2022 Jul,"67",51777,47225,4552
2022 May,"68",49760,45908,3852
2022 Jun,"68",49847,45908,3939
2022 Jul,"68",49933,45908,4025
2022 May,"69",47800,44690,3110
2022 Jun,"69",47847,44690,3157
2022 Jul,"69",47893,44690,3203
2022 May,"70",46430,44371,2059
2022 Jun,"70",46537,44371,2166
2022 Jul,"70",46643,44371,2272
2022 May,"71",44740,42774,1966
2022 Jun,"71",44790,42774,2016
2022 Jul,"71",44840,42774,2066
2022 May,"72",43980,41116,2864
2022 Jun,"72",43953,41116,2837
2022 Jul,"72",43927,41116,2811
2022 May,"73",42450,39294,3156
2022 Jun,"73",42530,39294,3236
2022 Jul,"73",42610,39294,3316
2022 May,"74",42220,37127,5093
2022 Jun,"74",42113,37127,4986
2022 Jul,"74",42007,37127,4880
2022 May,"75",40960,33614,7346
2022 Jun,"75",41130,33614,7516
2022 Jul,"75",41300,33710,7590
2022 May,"76",33980,31271,2709
2022 Jun,"76",34353,31271,3082
2022 Jul,"76",34727,31418,3309
2022 May,"77",31260,29079,2181
2022 Jun,"77",31493,29079,2414
2022 Jul,"77",31727,29261,2466
2022 May,"78",29000,26878,2122
2022 Jun,"78",29013,26878,2135
2022 Jul,"78",29027,27091,1936
2022 May,"79",24880,24784,96
2022 Jun,"79",25003,24784,219
2022 Jul,"79",25127,25016,111
2022 May,"80",26800,23561,3239
2022 Jun,"80",26620,23561,3059
2022 Jul,"80",26440,23769,2671
2022 May,"81",24960,21737,3223
2022 Jun,"81",25020,21737,3283
2022 Jul,"81",25080,21931,3149
2022 May,"82",21970,19892,2078
2022 Jun,"82",22170,19892,2278
2022 Jul,"82",22370,20071,2299
2022 May,"83",19050,17954,1096
2022 Jun,"83",19140,17954,1186
2022 Jul,"83",19230,18115,1115
2022 May,"84",16930,16006,924
2022 Jun,"84",17050,16006,1044
2022 Jul,"84",17170,16140,1030
2022 May,"85",14780,13809,971
2022 Jun,"85",14807,13809,998
2022 Jul,"85",14833,13920,913
2022 May,"86",12950,11999,951
2022 Jun,"86",13030,11999,1031
2022 Jul,"86",13110,12089,1021
2022 May,"87",11460,10193,1267
2022 Jun,"87",11403,10193,1210
2022 Jul,"87",11347,10263,1084
2022 May,"88",10110,8569,1541
2022 Jun,"88",10140,8569,1571
2022 Jul,"88",10170,8622,1548
2022 May,"89",8620,7137,1483
2022 Jun,"89",8623,7137,1486
2022 Jul,"89",8627,7176,1451
2022 May,"90",7350,5881,1469
2022 Jun,"90",7343,5881,1462
2022 Jul,"90",7337,5913,1424
2022 May,"91",6410,4726,1684
2022 Jun,"91",6343,4726,1617
2022 Jul,"91",6277,4752,1525
2022 May,"92",5250,3755,1495
2022 Jun,"92",5270,3755,1515
2022 Jul,"92",5290,3775,1515
2022 May,"93",4280,2944,1336
2022 Jun,"93",4237,2944,1293
2022 Jul,"93",4193,2959,1234
2022 May,"94",3110,2291,819
2022 Jun,"94",3107,2291,816
2022 Jul,"94",3103,2303,800
2022 May,"95+",8340,8584,-244
2022 Jun,"95+",8317,8584,-267
2022 Jul,"95+",8293,8584,-291
2022 Aug,"5",62680,11522,51158
2022 Sep,"5",62760,11522,51238
2022 Oct,"5",62840,11522,51318
2022 Aug,"6",63990,19036,44954
2022 Sep,"6",64053,19036,45017
2022 Oct,"6",64117,19036,45081
2022 Aug,"7",64260,25919,38341
2022 Sep,"7",64217,25919,38298
2022 Oct,"7",64173,25919,38254
2022 Aug,"8",64560,32166,32394
2022 Sep,"8",64690,32166,32524
2022 Oct,"8",64820,32166,32654
2022 Aug,"9",65910,37783,28127
2022 Sep,"9",65690,37783,27907
2022 Oct,"9",65470,37783,27687
2022 Aug,"10",67340,42776,24564
2022 Sep,"10",67687,42776,24911
2022 Oct,"10",68033,42776,25257
2022 Aug,"11",67670,47128,20542
2022 Sep,"11",67560,47128,20432
2022 Oct,"11",67450,47128,20322
2022 Aug,"12",68730,51222,17508
2022 Sep,"12",68773,51222,17551
2022 Oct,"12",68817,51222,17595
2022 Aug,"13",67850,54355,13495
2022 Sep,"13",67963,54355,13608
2022 Oct,"13",68077,54355,13722
2022 Aug,"14",68080,56687,11393
2022 Sep,"14",68203,56687,11516
2022 Oct,"14",68327,56687,11640
2022 Aug,"15",67260,58272,8988
2022 Sep,"15",67480,58272,9208
2022 Oct,"15",67700,58272,9428
2022 Aug,"16",64050,59521,4529
2022 Sep,"16",64320,59521,4799
2022 Oct,"16",64590,59521,5069
2022 Aug,"17",62670,60140,2530
2022 Sep,"17",62773,60140,2633
2022 Oct,"17",62877,60140,2737
2022 Aug,"18",62810,59375,3435
2022 Sep,"18",62763,59375,3388
2022 Oct,"18",62717,59375,3342
2022 Aug,"19",61920,59480,2440
2022 Sep,"19",61987,59480,2507
2022 Oct,"19",62053,59480,2573
2022 Aug,"20",62470,59574,2896
2022 Sep,"20",62350,59574,2776
2022 Oct,"20",62230,59574,2656
2022 Aug,"21",64280,59461,4819
2022 Sep,"21",64190,59461,4729
2022 Oct,"21",64100,59461,4639
2022 Aug,"22",65960,59715,6245
2022 Sep,"22",66087,59715,6372
2022 Oct,"22",66213,59715,6498
2022 Aug,"23",64340,60468,3872
2022 Sep,"23",64520,60468,4052
2022 Oct,"23",64700,60468,4232
2022 Aug,"24",65260,61378,3882
2022 Sep,"24",65143,61378,3765
2022 Oct,"24",65027,61378,3649
2022 Aug,"25",66690,62460,4230
2022 Sep,"25",66800,62460,4340
2022 Oct,"25",66910,62460,4450
2022 Aug,"26",68080,64038,4042
2022 Sep,"26",68330,64038,4292
2022 Oct,"26",68580,64038,4542
2022 Aug,"27",70440,65977,4463
2022 Sep,"27",70533,65977,4556
2022 Oct,"27",70627,65977,4650
2022 Aug,"28",71610,67615,3995
2022 Sep,"28",71800,67615,4185
2022 Oct,"28",71990,67615,4375
2022 Aug,"29",74730,69148,5582
2022 Sep,"29",74817,69148,5669
2022 Oct,"29",74903,69148,5755
2022 Aug,"30",78060,71965,6095
2022 Sep,"30",78240,71965,6275
2022 Oct,"30",78420,71965,6455
2022 Aug,"31",79430,72857,6573
2022 Sep,"31",79590,72958,6632
2022 Oct,"31",79750,72958,6792
2022 Aug,"32",79720,72679,7041
2022 Sep,"32",80127,72894,7233
2022 Oct,"32",80533,72931,7602
2022 Aug,"33",76650,71967,4683
2022 Sep,"33",77267,72267,5000
2022 Oct,"33",77883,72339,5544
2022 Aug,"34",76050,71029,5021
2022 Sep,"34",76377,71393,4984
2022 Oct,"34",76703,71496,5207
2022 Aug,"35",73670,68444,5226
2022 Sep,"35",74223,68751,5472
2022 Oct,"35",74777,68846,5931
2022 Aug,"36",70660,66487,4173
2022 Sep,"36",71093,66814,4279
2022 Oct,"36",71527,66935,4592
2022 Aug,"37",69550,64757,4793
2022 Sep,"37",69837,65096,4741
2022 Oct,"37",70123,65237,4886
2022 Aug,"38",68250,63230,5020
2022 Sep,"38",68567,63578,4989
2022 Oct,"38",68883,63736,5147
2022 Aug,"39",67350,61629,5721
2022 Sep,"39",67623,61979,5644
2022 Oct,"39",67897,62154,5743
2022 Aug,"40",66540,60745,5795
2022 Sep,"40",67023,61176,5847
2022 Oct,"40",67507,61409,6098
2022 Aug,"41",64980,59774,5206
2022 Sep,"41",65113,60147,4966
2022 Oct,"41",65247,60354,4893
2022 Aug,"42",64010,58984,5026
2022 Sep,"42",64300,59275,5025
2022 Oct,"42",64590,59441,5149
2022 Aug,"43",62630,58435,4195
2022 Sep,"43",62930,58651,4279
2022 Oct,"43",63230,58777,4453
2022 Aug,"44",60870,58185,2685
2022 Sep,"44",61157,58309,2848
2022 Oct,"44",61443,58382,3061
2022 Aug,"45",60890,57204,3686
2022 Sep,"45",60880,57204,3676
2022 Oct,"45",60870,57204,3666
2022 Aug,"46",60620,57035,3585
2022 Sep,"46",60770,57035,3735
2022 Oct,"46",60920,57035,3885
2022 Aug,"47",61950,57485,4465
2022 Sep,"47",61797,57485,4312
2022 Oct,"47",61643,57485,4158
2022 Aug,"48",63720,58359,5361
2022 Sep,"48",63647,58359,5288
2022 Oct,"48",63573,58359,5214
2022 Aug,"49",65510,59082,6428
2022 Sep,"49",65357,59082,6275
2022 Oct,"49",65203,59082,6121
2022 Aug,"50",68150,61417,6733
2022 Sep,"50",68087,61510,6577
2022 Oct,"50",68023,61517,6506
2022 Aug,"51",68780,62042,6738
2022 Sep,"51",68690,62216,6474
2022 Oct,"51",68600,62263,6337
2022 Aug,"52",66610,62372,4238
2022 Sep,"52",66890,62598,4292
2022 Oct,"52",67170,62670,4500
2022 Aug,"53",66460,62234,4226
2022 Sep,"53",66430,62451,3979
2022 Oct,"53",66400,62521,3879
2022 Aug,"54",64890,61842,3048
2022 Sep,"54",65180,62024,3156
2022 Oct,"54",65470,62080,3390
2022 Aug,"55",63410,60013,3397
2022 Sep,"55",63433,60013,3420
2022 Oct,"55",63457,60013,3444
2022 Aug,"56",62450,59534,2916
2022 Sep,"56",62467,59534,2933
2022 Oct,"56",62483,59534,2949
2022 Aug,"57",62890,58912,3978
2022 Sep,"57",62827,58912,3915
2022 Oct,"57",62763,58912,3851
2022 Aug,"58",64180,58345,5835
2022 Sep,"58",64163,58345,5818
2022 Oct,"58",64147,58345,5802
2022 Aug,"59",65640,58041,7599
2022 Sep,"59",65483,58041,7442
2022 Oct,"59",65327,58041,7286
2022 Aug,"60",64880,58848,6032
2022 Sep,"60",65037,59090,5947
2022 Oct,"60",65193,59126,6067
2022 Aug,"61",63440,58122,5318
2022 Sep,"61",63470,58438,5032
2022 Oct,"61",63500,58503,4997
2022 Aug,"62",60810,57022,3788
2022 Sep,"62",61137,57399,3738
2022 Oct,"62",61463,57490,3973
2022 Aug,"63",59260,55709,3551
2022 Sep,"63",59220,56149,3071
2022 Oct,"63",59180,56271,2909
2022 Aug,"64",57120,54319,2801
2022 Sep,"64",57310,54795,2515
2022 Oct,"64",57500,54935,2565
2022 Aug,"65",55590,51633,3957
2022 Sep,"65",55737,52046,3691
2022 Oct,"65",55883,52182,3701
2022 Aug,"66",53630,49877,3753
2022 Sep,"66",53793,50250,3543
2022 Oct,"66",53957,50372,3585
2022 Aug,"67",51930,48214,3716
2022 Sep,"67",51980,48550,3430
2022 Oct,"67",52030,48660,3370
2022 Aug,"68",50020,46786,3234
2022 Sep,"68",50150,47081,3069
2022 Oct,"68",50280,47171,3109
2022 Aug,"69",47940,45421,2519
2022 Sep,"69",47943,45659,2284
2022 Oct,"69",47947,45724,2223
2022 Aug,"70",46750,44910,1840
2022 Sep,"70",46910,45041,1869
2022 Oct,"70",47070,45041,2029
2022 Aug,"71",44890,43298,1592
2022 Sep,"71",44897,43455,1442
2022 Oct,"71",44903,43472,1431
2022 Aug,"72",43900,41651,2249
2022 Sep,"72",44030,41828,2202
2022 Oct,"72",44160,41866,2294
2022 Aug,"73",42690,39855,2835
2022 Sep,"73",42707,40050,2657
2022 Oct,"73",42723,40113,2610
2022 Aug,"74",41900,37759,4141
2022 Sep,"74",41910,37991,3919
2022 Oct,"74",41920,38092,3828
2022 Aug,"75",41470,34727,6743
2022 Sep,"75",41360,35098,6262
2022 Oct,"75",41250,35330,5920
2022 Aug,"76",35100,32547,2553
2022 Sep,"76",35800,32946,2854
2022 Oct,"76",36500,33202,3298
2022 Aug,"77",31960,30434,1526
2022 Sep,"77",32090,30835,1255
2022 Oct,"77",32220,31087,1133
2022 Aug,"78",29040,28288,752
2022 Sep,"78",29177,28681,496
2022 Oct,"78",29313,28916,397
2022 Aug,"79",25250,26203,-953
2022 Sep,"79",25493,26580,-1087
2022 Oct,"79",25737,26794,-1057
2022 Aug,"80",26260,24716,1544
2022 Sep,"80",25997,24992,1005
2022 Oct,"80",25733,25094,639
2022 Aug,"81",25140,22760,2380
2022 Sep,"81",25180,22986,2194
2022 Oct,"81",25220,23041,2179
2022 Aug,"82",22570,20801,1769
2022 Sep,"82",22700,20986,1714
2022 Oct,"82",22830,21007,1823
2022 Aug,"83",19320,18760,560
2022 Sep,"83",19520,18892,628
2022 Oct,"83",19720,18892,828
2022 Aug,"84",17290,16661,629
2022 Sep,"84",17327,16764,563
2022 Oct,"84",17363,16764,599
2022 Aug,"85",14860,14479,381
2022 Sep,"85",15007,14618,389
2022 Oct,"85",15153,14649,504
2022 Aug,"86",13190,12600,590
2022 Sep,"86",13253,12728,525
2022 Oct,"86",13317,12764,553
2022 Aug,"87",11290,10739,551
2022 Sep,"87",11263,10863,400
2022 Oct,"87",11237,10911,326
2022 Aug,"88",10200,9061,1139
2022 Sep,"88",10280,9179,1101
2022 Oct,"88",10360,9237,1123
2022 Aug,"89",8630,7577,1053
2022 Sep,"89",8623,7688,935
2022 Oct,"89",8617,7748,869
2022 Aug,"90",7330,6275,1055
2022 Sep,"90",7323,6376,947
2022 Oct,"90",7317,6433,884
2022 Aug,"91",6210,5082,1128
2022 Sep,"91",6223,5175,1048
2022 Oct,"91",6237,5232,1005
2022 Aug,"92",5310,4072,1238
2022 Sep,"92",5307,4156,1151
2022 Oct,"92",5303,4207,1096
2022 Aug,"93",4150,3223,927
2022 Sep,"93",4180,3296,884
2022 Oct,"93",4210,3340,870
2022 Aug,"94",3100,2536,564
2022 Sep,"94",3127,2598,529
2022 Oct,"94",3153,2631,522
2022 Aug,"95+",8270,8584,-314
2022 Sep,"95+",8263,8584,-321
2022 Oct,"95+",8257,8584,-327
2022 Nov,"5",62920,11522,51398
2022 Dec,"5",63037,11522,51515
2023 Jan,"5",63153,11522,51631
2022 Nov,"6",64180,19036,45144
2022 Dec,"6",64167,19036,45131
2023 Jan,"6",64153,19036,45117
2022 Nov,"7",64130,25919,38211
2022 Dec,"7",64253,25919,38334
2023 Jan,"7",64377,25919,38458
2022 Nov,"8",64950,32166,32784
2022 Dec,"8",65153,32166,32987
2023 Jan,"8",65357,32166,33191
2022 Nov,"9",65250,37783,27467
2022 Dec,"9",65193,37783,27410
2023 Jan,"9",65137,37783,27354
2022 Nov,"10",68380,42776,25604
2022 Dec,"10",68363,42776,25587
2023 Jan,"10",68347,42776,25571
2022 Nov,"11",67340,47128,20212
2022 Dec,"11",67460,47128,20332
2023 Jan,"11",67580,47128,20452
2022 Nov,"12",68860,51222,17638
2022 Dec,"12",68937,51222,17715
2023 Jan,"12",69013,51222,17791
2022 Nov,"13",68190,54355,13835
2022 Dec,"13",68423,54355,14068
2023 Jan,"13",68657,54355,14302
2022 Nov,"14",68450,56687,11763
2022 Dec,"14",68523,56687,11836
2023 Jan,"14",68597,56687,11910
2022 Nov,"15",67920,58272,9648
2022 Dec,"15",68217,58272,9945
2023 Jan,"15",68513,58272,10241
2022 Nov,"16",64860,59521,5339
2022 Dec,"16",65277,59521,5756
2023 Jan,"16",65693,59521,6172
2022 Nov,"17",62980,60140,2840
2022 Dec,"17",63177,60140,3037
2023 Jan,"17",63373,60140,3233
2022 Nov,"18",62670,59375,3295
2022 Dec,"18",62743,59375,3368
2023 Jan,"18",62817,59375,3442
2022 Nov,"19",62120,59480,2640
2022 Dec,"19",62340,59480,2860
2023 Jan,"19",62560,59480,3080
2022 Nov,"20",62110,59574,2536
2022 Dec,"20",62340,59574,2766
2023 Jan,"20",62570,59580,2990
2022 Nov,"21",64010,59461,4549
2022 Dec,"21",63913,59461,4452
2023 Jan,"21",63817,59464,4353
2022 Nov,"22",66340,59715,6625
2022 Dec,"22",66390,59715,6675
2023 Jan,"22",66440,59715,6725
2022 Nov,"23",64880,60468,4412
2022 Dec,"23",65367,60468,4899
2023 Jan,"23",65853,60468,5385
2022 Nov,"24",64910,61378,3532
2022 Dec,"24",65010,61378,3632
2023 Jan,"24",65110,61378,3732
2022 Nov,"25",67020,62460,4560
2022 Dec,"25",67320,62460,4860
2023 Jan,"25",67620,62460,5160
2022 Nov,"26",68830,64038,4792
2022 Dec,"26",68823,64038,4785
2023 Jan,"26",68817,64038,4779
2022 Nov,"27",70720,65977,4743
2022 Dec,"27",71007,65977,5030
2023 Jan,"27",71293,65977,5316
2022 Nov,"28",72180,67615,4565
2022 Dec,"28",72550,67615,4935
2023 Jan,"28",72920,67615,5305
2022 Nov,"29",74990,69148,5842
2022 Dec,"29",75017,69148,5869
2023 Jan,"29",75043,69148,5895
2022 Nov,"30",78600,71965,6635
2022 Dec,"30",78797,71965,6832
2023 Jan,"30",78993,71965,7028
2022 Nov,"31",79910,72958,6952
2022 Dec,"31",80437,72958,7479
2023 Jan,"31",80963,72958,8005
2022 Nov,"32",80940,72967,7973
2022 Dec,"32",81500,73005,8495
2023 Jan,"32",82060,73053,9007
2022 Nov,"33",78500,72399,6101
2022 Dec,"33",79107,72466,6641
2023 Jan,"33",79713,72559,7154
2022 Nov,"34",77030,71577,5453
2022 Dec,"34",77483,71670,5813
2023 Jan,"34",77937,71793,6144
2022 Nov,"35",75330,68913,6417
2022 Dec,"35",76160,69006,7154
2023 Jan,"35",76990,69115,7875
2022 Nov,"36",71960,67024,4936
2022 Dec,"36",72487,67135,5352
2023 Jan,"36",73013,67261,5752
2022 Nov,"37",70410,65342,5068
2022 Dec,"37",70800,65466,5334
2023 Jan,"37",71190,65604,5586
2022 Nov,"38",69200,63862,5338
2022 Dec,"38",69673,63994,5679
2023 Jan,"38",70147,64143,6004
2022 Nov,"39",68170,62300,5870
2022 Dec,"39",68563,62439,6124
2023 Jan,"39",68957,62595,6362
2022 Nov,"40",67990,61623,6367
2022 Dec,"40",68340,61793,6547
2023 Jan,"40",68690,61987,6703
2022 Nov,"41",65380,60546,4834
2022 Dec,"41",65903,60693,5210
2023 Jan,"41",66427,60867,5560
2022 Nov,"42",64880,59597,5283
2022 Dec,"42",65173,59708,5465
2023 Jan,"42",65467,59852,5615
2022 Nov,"43",63530,58896,4634
2022 Dec,"43",63947,58975,4972
2023 Jan,"43",64363,59089,5274
2022 Nov,"44",61730,58451,3279
2022 Dec,"44",62020,58491,3529
2023 Jan,"44",62310,58563,3747
2022 Nov,"45",60860,57204,3656
2022 Dec,"45",61107,57204,3903
2023 Jan,"45",61353,57204,4149
2022 Nov,"46",61070,57035,4035
2022 Dec,"46",61253,57035,4218
2023 Jan,"46",61437,57035,4402
2022 Nov,"47",61490,57485,4005
2022 Dec,"47",61403,57485,3918
2023 Jan,"47",61317,57485,3832
2022 Nov,"48",63500,58359,5141
2022 Dec,"48",63520,58359,5161
2023 Jan,"48",63540,58359,5181
2022 Nov,"49",65050,59082,5968
2022 Dec,"49",65003,59082,5921
2023 Jan,"49",64957,59082,5875
2022 Nov,"50",67960,61526,6434
2022 Dec,"50",67790,61533,6257
2023 Jan,"50",67620,61534,6086
2022 Nov,"51",68510,62334,6176
2022 Dec,"51",68523,62388,6135
2023 Jan,"51",68537,62392,6145
2022 Nov,"52",67450,62770,4680
2022 Dec,"52",67607,62846,4761
2023 Jan,"52",67763,62869,4894
2022 Nov,"53",66370,62616,3754
2022 Dec,"53",66437,62686,3751
2023 Jan,"53",66503,62716,3787
2022 Nov,"54",65760,62157,3603
2022 Dec,"54",65927,62211,3716
2023 Jan,"54",66093,62240,3853
2022 Nov,"55",63480,60013,3467
2022 Dec,"55",63613,60013,3600
2023 Jan,"55",63747,60013,3734
2022 Nov,"56",62500,59534,2966
2022 Dec,"56",62580,59534,3046
2023 Jan,"56",62660,59534,3126
2022 Nov,"57",62700,58912,3788
2022 Dec,"57",62700,58912,3788
2023 Jan,"57",62700,58912,3788
2022 Nov,"58",64130,58345,5785
2022 Dec,"58",63887,58345,5542
2023 Jan,"58",63643,58345,5298
2022 Nov,"59",65170,58041,7129
2022 Dec,"59",65060,58051,7009
2023 Jan,"59",64950,58078,6872
2022 Nov,"60",65350,59154,6196
2022 Dec,"60",65483,59227,6256
2023 Jan,"60",65617,59327,6290
2022 Nov,"61",63530,58558,4972
2022 Dec,"61",63693,58659,5034
2023 Jan,"61",63857,58785,5072
2022 Nov,"62",61790,57571,4219
2022 Dec,"62",61870,57697,4173
2023 Jan,"62",61950,57843,4107
2022 Nov,"63",59140,56385,2755
2022 Dec,"63",59357,56535,2822
2023 Jan,"63",59573,56700,2873
2022 Nov,"64",57690,55068,2622
2022 Dec,"64",57817,55233,2584
2023 Jan,"64",57943,55407,2536
2022 Nov,"65",56030,52303,3727
2022 Dec,"65",56230,52446,3784
2023 Jan,"65",56430,52609,3821
2022 Nov,"66",54120,50481,3639
2022 Dec,"66",54157,50602,3555
2023 Jan,"66",54193,50741,3452
2022 Nov,"67",52080,48757,3323
2022 Dec,"67",52203,48861,3342
2023 Jan,"67",52327,48979,3348
2022 Nov,"68",50410,47253,3157
2022 Dec,"68",50530,47335,3195
2023 Jan,"68",50650,47427,3223
2022 Nov,"69",47950,45783,2167
2022 Dec,"69",48143,45838,2305
2023 Jan,"69",48337,45896,2441
2022 Nov,"70",47230,45041,2189
2022 Dec,"70",47303,45041,2262
2023 Jan,"70",47377,45041,2336
2022 Nov,"71",44910,43487,1423
2022 Dec,"71",45073,43493,1580
2023 Jan,"71",45237,43494,1743
2022 Nov,"72",44290,41913,2377
2022 Dec,"72",44257,41947,2310
2023 Jan,"72",44223,41968,2255
2022 Nov,"73",42740,40183,2557
2022 Dec,"73",42813,40240,2573
2023 Jan,"73",42887,40283,2604
2022 Nov,"74",41930,38195,3735
2022 Dec,"74",41897,38283,3614
2023 Jan,"74",41863,38363,3500
2022 Nov,"75",41140,35551,5589
2022 Dec,"75",41143,35752,5391
2023 Jan,"75",41147,35965,5182
2022 Nov,"76",37200,33444,3756
2022 Dec,"76",37797,33666,4131
2023 Jan,"76",38393,33905,4488
2022 Nov,"77",32350,31323,1027
2022 Dec,"77",32527,31539,988
2023 Jan,"77",32703,31774,929
2022 Nov,"78",29450,29134,316
2022 Dec,"78",29520,29333,187
2023 Jan,"78",29590,29552,38
2022 Nov,"79",25980,26989,-1009
2022 Dec,"79",26323,27168,-845
2023 Jan,"79",26667,27367,-700
2022 Nov,"80",25470,25187,283
2022 Dec,"80",25163,25265,-102
2023 Jan,"80",24857,25351,-494
2022 Nov,"81",25260,23088,2172
2022 Dec,"81",25353,23124,2229
2023 Jan,"81",25447,23164,2283
2022 Nov,"82",22960,21021,1939
2022 Dec,"82",23133,21024,2109
2023 Jan,"82",23307,21025,2282
2022 Nov,"83",19920,18892,1028
2022 Dec,"83",19947,18892,1055
2023 Jan,"83",19973,18892,1081
2022 Nov,"84",17400,16764,636
2022 Dec,"84",17560,16764,796
2023 Jan,"84",17720,16764,956
2022 Nov,"85",15300,14676,624
2022 Dec,"85",15360,14707,653
2023 Jan,"85",15420,14724,696
2022 Nov,"86",13380,12795,585
2022 Dec,"86",13357,12832,525
2023 Jan,"86",13333,12854,479
2022 Nov,"87",11210,10957,253
2022 Dec,"87",11297,11010,287
2023 Jan,"87",11383,11047,336
2022 Nov,"88",10440,9291,1149
2022 Dec,"88",10417,9355,1062
2023 Jan,"88",10393,9402,991
2022 Nov,"89",8610,7806,804
2022 Dec,"89",8677,7872,805
2023 Jan,"89",8743,7923,820
2022 Nov,"90",7310,6488,822
2022 Dec,"90",7317,6552,765
2023 Jan,"90",7323,6600,723
2022 Nov,"91",6250,5287,963
2022 Dec,"91",6247,5350,897
2023 Jan,"91",6243,5399,844
2022 Nov,"92",5300,4257,1043
2022 Dec,"92",5317,4315,1002
2023 Jan,"92",5333,4360,973
2022 Nov,"93",4240,3382,858
2022 Dec,"93",4260,3430,830
2023 Jan,"93",4280,3469,811
2022 Nov,"94",3180,2662,518
2022 Dec,"94",3197,2698,499
2023 Jan,"94",3213,2728,485
2022 Nov,"95+",8250,8584,-334
2022 Dec,"95+",8283,8584,-301
2023 Jan,"95+",8317,8584,-267
2023 Feb,"5",63270,11522,51748
2023 Mar,"5",63180,11522,51658
2023 Apr,"5",63090,11522,51568
2023 Feb,"6",64140,19036,45104
2023 Mar,"6",64313,19036,45277
2023 Apr,"6",64487,19036,45451
2023 Feb,"7",64500,25919,38581
2023 Mar,"7",64620,25919,38701
2023 Apr,"7",64740,25919,38821
2023 Feb,"8",65560,32166,33394
2023 Mar,"8",65597,32166,33431
2023 Apr,"8",65633,32166,33467
2023 Feb,"9",65080,37783,27297
2023 Mar,"9",65373,37783,27590
2023 Apr,"9",65667,37783,27884
2023 Feb,"10",68330,42776,25554
2023 Mar,"10",68163,42776,25387
2023 Apr,"10",67997,42776,25221
2023 Feb,"11",67700,47128,20572
2023 Mar,"11",67930,47128,20802
2023 Apr,"11",68160,47128,21032
2023 Feb,"12",69090,51222,17868
2023 Mar,"12",69077,51222,17855
2023 Apr,"12",69063,51222,17841
2023 Feb,"13",68890,54355,14535
2023 Mar,"13",69203,54355,14848
2023 Apr,"13",69517,54355,15162
2023 Feb,"14",68670,56687,11983
2023 Mar,"14",68743,56687,12056
